id,name,type,birth,age,position,country
Lohuis,Juliet Lohuis,1,1996,3,1,Niederlande
Muenster,USC Muenster,2,,,,
Alterno,Coolen Alterno,2,,,,
Almelo,Eurosped Almelo,2,,,,
Papendal,Talent Team Papendal,2,,,,
Setup,Set-up 65,2,,,,
NED,Niederlande,2,,,,
Todorova,Mira Todorova,1,1994,4,1,Bulgarien
Maritza,VC Maritza,2,,,,
Pfeffingen,SmAesch Pfeffingen,2,,,,
Le Cannet VB,Le Cannet Volley Ball,2,,,,
Zuerich,Volero Zuerich,2,,,,
Le Cannet,Volero Le Cannet,2,,,,
Cannes,RC Cannes,2,,,,
BUL,Bulgarien,2,,,,
Timmerman,Eline Timmerman,1,1998,3,1,Niederlande
Aachen,Ladies in Black Aachen,2,,,,
Twente,Eurosped Twente,2,,,,
Alterno AD,Alterno Apeldoorn,2,,,,
Kohn,Hannah Kohn,1,2003,1,2,Deutschland
BSP Stuttgart,Bundesstuetzpunkt Stuttgart,2,,,,
OSP Stuttgart,Olympiastuetzpunkt Stuttgart,2,,,,
Ulm,VfB Ulm,2,,,,
GER,Deutschland,2,,,,
vdVyver,Ilka van der Vyver,1,1993,4,2,Belgien
Targoviste,CSM Targoviste,2,,,,
Vilsbiburg,Rote Raben Vilsbiburg,2,,,,
Ljubljana,Calcit Ljubljana,2,,,,
Firenze,Il Bisonte Firenze,2,,,,
Kieldrecht,Asterix Kieldrecht,2,,,,
BEL,Belgien,2,,,,
Nowicka,Julia Nowicka,1,1998,2,2,Polen
Szczyrk,SMS PZPS Szczyrk,2,,,,
Bydgoszcz U20,KS Palac Bydgoszcz U20,2,,,,
BielskoBiala,BKS Profi Credit Bielsko-Biala,2,,,,
Lodz,Grot Budowlani Lodz,2,,,,
POL,Polen,2,,,,
Lee,Simone Lee,1,1996,3,3,USA
PS Uni,Penn State University,2,,,,
Conegliano,Imoco Volley Conegliano,2,,,,
Beylikduezue,Beylikduezue,2,,,,
Kurobe,Kurobe AquaFairies,2,,,,
USA,USA,2,,,,
Palleres,Maria Segura Palleres,1,1992,5,3,Spanien
Barcelona,CV Barcelona,2,,,,
Olbia,Geovillage Hermaea Olbia,2,,,,
Trentino,Delta Informatica Trentino,2,,,,
Monza,Saugella Team Monza,2,,,,
Cuneo,Bosca San Bernardo Cuneo,2,,,,
Dresden,Dresdner SC 1898,2,,,,
Brescia,Banca Valsabbina Millenium Brescia,2,,,,
ESP,Spanien,2,,,,
Jasper,Hester Jasper,1,2001,2,3,Niederlande
Sneek,VC Sneek,2,,,,
Suhl,VfB Suhl Lotto Thueringen,2,,,,
Dornheim,Helena Dornheim,1,2004,1,3,Deutschland
MTV 2,Allianz MTV Stuttgart 2,2,,,,
Rivers,Krystal Rivers,1,1994,4,4,USA
Luka Bar,Luka Bar (MNE),2,,,,
Beziers,Beziers Angels,2,,,,
Uni Alabama,University of Alabama,2,,,,
Berger,Lara Berger,1,2001,2,4,Deutschland
Berlin,VCO Berlin,2,,,,
Tuebingen,FV Tuebinger Modell,2,,,,
Koskelo,Roosa Koskelo,1,1991,5,5,Finnland
Someron,Someron Pallo,2,,,,
Kimmo,Kimmo,2,,,,
Haemeenlinnan,Haemeenlinnan Lentopallokerho,2,,,,
Kangasala,LP Kangasala,2,,,,
Viesti,LP Viesti,2,,,,
Branik,OK Nova KBM Branik,2,,,,
FIN,Finnland,2,,,,
Grundt,Lena Grundt,1,2004,1,5,Deutschland
Jugend MTV,Jugend MTV Stuttgart,2,,,,
